站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220710136000,28.2,1011.4,63,204,6.4,1.5,10113.5
58102,20220710136000,4.8,1017.7,56,100,9.8,0.2,10494.5
58118,20220710136000,26.7,1008.9,39,264,14.0,1.0,10423.2
58122,20220710136000,24.8,1003.7,51,187,5.1,0.1,10335.7
58203,20220710136000,13.8,1013.9,74,121,12.3,1.5,10109.8
58215,20220710136000,27.2,1011.8,68,318,9.0,0.2,10435.2
58221,20220710136000,2.6,1008.2,43,76,5.6,1.2,10422.9
58225,20220710136000,11.9,1025.0,27,95,1.4,0.4,10231.0
58236,20220710136000,31.7,1010.9,57,284,11.8,0.1,10391.7
58311,20220710136000,32.1,1025.6,57,323,2.6,0.7,10036.0
58314,20220710136000,30.6,1008.7,73,87,5.9,0.3,10267.8
58319,20220710136000,14.3,1003.4,88,154,8.2,0.1,10428.7
58321,20220710136000,28.2,1019.6,4,312,4.7,0.8,10298.8
58326,20220710136000,17.9,1019.3,67,32,1.2,0.6,10078.4
58336,20220710136000,18.2,1009.2,70,117,14.4,1.0,10144.2
58338,20220710136000,6.0,1022.6,53,213,1.0,0.0,10263.0
58414,20220710136000,7.1,1011.4,42,39,5.5,0.4,10483.1
58419,20220710136000,23.3,1017.3,12,43,0.4,1.4,10122.7
58424,20220710136000,15.4,1010.7,83,136,0.0,0.4,10082.4
58429,20220710136000,29.8,1014.3,84,204,10.9,0.3,10093.4
58436,20220710136000,11.7,1013.7,21,234,3.7,0.1,10275.2
58437,20220710136000,25.8,1005.1,9,239,6.6,1.1,10000.6
58520,20220710136000,24.1,1024.6,10,168,5.6,1.2,10013.1
58531,20220710136000,29.9,1008.8,12,64,14.6,0.2,10049.4
54406,20220710136000,28.2,1013.6,90,208,1.1,1.4,10353.8
54416,20220710136000,30.9,1003.3,100,34,13.1,0.3,10309.8
54511,20220710136000,1.8,1018.3,21,88,8.4,0.2,10456.5
58725,20220710136000,7.4,1025.9,55,38,7.2,0.9,10100.4
58730,20220710136000,32.7,1024.8,16,285,14.4,0.9,10287.9
58731,20220710136000,28.1,1001.9,1,255,14.4,1.1,10356.6
58734,20220710136000,11.4,1001.1,49,204,9.4,0.8,10025.4
58737,20220710136000,31.6,1012.5,54,101,7.6,0.7,10367.7
58744,20220710136000,6.7,1009.6,27,178,8.9,0.6,10086.6
58754,20220710136000,20.7,1002.8,54,261,2.4,1.3,10271.3
58818,20220710136000,33.3,1002.7,100,256,11.3,1.1,10299.8
58820,20220710136000,11.7,1016.0,18,108,1.8,1.4,10345.6
58834,20220710136000,32.5,1023.5,33,85,10.8,1.5,10211.4
58837,20220710136000,19.2,1026.2,12,334,11.2,0.4,10366.1
58843,20220710136000,8.6,1011.4,25,86,12.1,1.5,10086.5
58846,20220710136000,20.3,1019.5,76,246,3.8,1.2,10070.9
58847,20220710136000,10.7,1017.0,48,90,9.7,0.8,10184.6
58911,20220710136000,13.1,1006.3,12,177,10.2,0.6,10482.5
58918,20220710136000,6.7,1026.0,20,162,10.9,1.1,10186.0
58921,20220710136000,29.7,1009.9,16,149,8.9,1.1,10426.7
58926,20220710136000,19.4,1015.0,55,175,10.2,1.0,10037.8
58927,20220710136000,11.8,1022.9,86,187,12.7,0.0,10271.1
58931,20220710136000,23.5,1000.2,9,165,1.2,0.7,10406.8
58933,20220710136000,0.2,1015.4,8,336,9.3,1.5,10276.9
58936,20220710136000,29.2,1011.1,46,54,5.3,0.0,10313.7
58944,20220710136000,15.6,1020.2,41,47,13.8,0.9,10108.7
59113,20220710136000,23.0,1004.9,84,58,4.6,0.3,10237.7
59126,20220710136000,2.4,1003.2,91,276,4.8,1.3,10354.6
59133,20220710136000,21.1,1012.4,23,197,9.2,0.3,10050.3
59134,20220710136000,15.8,1003.4,94,204,2.3,0.1,10160.7
59321,20220710136000,23.6,1004.1,31,358,3.5,1.3,10361.1
52323,20220710136000,2.7,1024.3,72,94,3.2,0.5,10335.6
52418,20220710136000,9.8,1008.5,76,64,13.9,0.1,10036.3
52424,20220710136000,6.8,1013.7,46,62,3.6,1.0,10254.6
52436,20220710136000,4.6,1021.1,50,183,13.7,0.3,10036.6
52446,20220710136000,20.5,1012.4,83,185,10.2,1.4,10382.6
52447,20220710136000,20.3,1000.7,84,57,13.2,1.0,10091.0
52533,20220710136000,0.9,1011.3,96,300,7.5,0.0,10428.0
52546,20220710136000,33.7,1013.5,81,95,0.8,0.1,10280.3
52652,20220710136000,22.3,1002.8,58,257,5.9,0.3,10359.1
52661,20220710136000,31.3,1011.0,28,280,1.5,1.4,10302.5
52674,20220710136000,6.6,1008.5,60,73,2.8,0.2,10170.8
52679,20220710136000,1.1,1000.6,28,311,12.8,1.1,10291.4
52681,20220710136000,10.1,1014.3,50,304,10.6,1.0,10105.1
52787,20220710136000,7.6,1017.3,30,333,14.3,0.8,10405.2
52797,20220710136000,31.1,1015.1,4,88,8.8,0.2,10128.1
52884,20220710136000,13.8,1000.8,20,264,11.6,0.6,10127.4
52895,20220710136000,8.4,1021.8,95,14,5.1,0.3,10140.4
52983,20220710136000,16.7,1002.5,73,88,9.8,0.5,10483.8
52984,20220710136000,32.6,1002.4,97,152,7.7,0.3,10097.3
52986,20220710136000,25.6,1024.4,46,5,13.4,0.0,10113.9
52996,20220710136000,19.5,1009.8,6,180,12.3,1.1,10294.3
53821,20220710136000,26.5,1011.9,57,225,4.6,0.1,10384.7
